ruta,lineas,main,class,plugin,tests,importado,ultima_mod,estado
motor/agents/__init__.py,117,False,False,False,False,True,2026-07-19 02:12:05 +0200,libreria
motor/agents/agent.py,179,False,True,False,False,False,2026-07-19 19:10:32 +0200,dormido
motor/agents/base.py,255,False,True,False,False,True,2026-07-18 02:22:53 +0200,activo
motor/agents/gate.py,254,False,True,False,False,False,2026-07-20 13:16:03 +0200,dormido
motor/agents/models.py,355,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
motor/agents/planner.py,147,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
motor/agents/runner.py,282,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
motor/agents/scheduler.py,224,False,True,False,False,True,2026-07-19 19:10:32 +0200,activo
motor/agents/state.py,67,False,True,False,False,False,2026-07-19 19:10:32 +0200,dormido
motor/assistant/__init__.py,2,False,False,False,False,True,2026-07-23 03:51:14 +0200,esbozo
motor/assistant/api/__init__.py,7,False,False,False,False,True,2026-07-23 05:11:56 +0200,esbozo
motor/assistant/api/handlers.py,305,False,True,False,False,True,2026-07-23 06:04:56 +0200,activo
motor/assistant/api/middleware.py,39,False,True,False,False,True,2026-07-23 05:11:56 +0200,activo
motor/assistant/api/routes.py,255,False,True,False,False,True,2026-08-02 03:18:26 +0200,activo
motor/assistant/auth.py,30,False,True,False,False,True,2026-07-20 23:47:47 +0200,activo
motor/assistant/auto_mode.py,110,False,True,False,False,False,2026-07-20 23:47:47 +0200,dormido
motor/assistant/config.py,34,False,True,False,True,True,2026-07-20 23:47:47 +0200,activo
motor/assistant/context.py,165,False,True,False,False,True,2026-07-20 23:47:47 +0200,activo
motor/assistant/context_window.py,46,False,True,False,False,True,2026-07-19 23:17:32 +0200,activo
motor/assistant/conversation.py,373,False,True,False,True,True,2026-08-02 03:21:24 +0200,activo
motor/assistant/corrective_learning.py,155,False,True,False,False,False,2026-07-23 06:04:56 +0200,dormido
motor/assistant/episodic_memory.py,138,False,True,False,True,False,2026-07-20 23:47:47 +0200,activo
motor/assistant/evaluation.py,83,False,True,False,False,False,2026-07-20 23:47:47 +0200,dormido
motor/assistant/executor.py,457,False,True,False,False,True,2026-08-02 01:53:30 +0200,activo
motor/assistant/health.py,43,False,False,False,True,True,2026-07-23 14:52:13 +0200,libreria
motor/assistant/implicit_feedback.py,118,False,True,False,False,False,2026-07-20 23:47:47 +0200,dormido
motor/assistant/intent.py,217,False,True,False,False,True,2026-08-01 13:22:09 +0200,activo
motor/assistant/interruption.py,74,False,True,False,False,False,2026-07-20 23:47:47 +0200,dormido
motor/assistant/language.py,288,False,True,False,False,True,2026-07-20 23:47:47 +0200,activo
motor/assistant/llm_bridge.py,203,False,True,False,False,False,2026-07-23 04:01:32 +0200,dormido
motor/assistant/main.py,104,True,False,False,False,True,2026-07-23 14:54:06 +0200,activo
motor/assistant/message_store.py,124,False,True,False,True,True,2026-07-20 23:47:47 +0200,activo
motor/assistant/metrics.py,54,False,False,False,False,True,2026-07-23 14:52:13 +0200,libreria
motor/assistant/models.py,110,False,True,False,False,True,2026-07-20 00:19:55 +0200,activo
motor/assistant/moderation.py,63,False,True,False,True,True,2026-07-20 23:47:47 +0200,activo
motor/assistant/preferences.py,110,False,True,False,False,False,2026-07-22 19:16:17 +0200,dormido
motor/assistant/proactive_memory.py,138,False,True,False,False,False,2026-07-22 19:16:17 +0200,dormido
motor/assistant/prompt_sanitizer.py,35,False,True,False,True,True,2026-07-20 23:47:47 +0200,activo
motor/assistant/rag.py,57,False,True,False,False,False,2026-07-22 19:20:45 +0200,dormido
motor/assistant/sentiment.py,142,False,True,False,False,False,2026-07-20 23:47:47 +0200,dormido
motor/assistant/streaming.py,59,False,True,False,False,True,2026-07-19 23:17:32 +0200,activo
motor/assistant/style.py,126,False,True,False,False,True,2026-07-20 23:47:47 +0200,activo
motor/assistant/tool_plugin.py,47,False,True,True,False,False,2026-07-24 01:34:00 +0200,dormido
motor/assistant/tool_plugins/__init__.py,2,False,False,False,False,True,2026-07-23 03:51:14 +0200,esbozo
motor/assistant/tool_plugins/weather.py,36,False,True,False,False,True,2026-07-20 23:47:47 +0200,activo
motor/assistant/trends.py,62,False,True,False,False,False,2026-07-20 23:47:47 +0200,dormido
motor/assistant/vector_memory.py,113,False,True,False,False,False,2026-07-28 18:37:10 +0200,dormido
motor/assistant/web_search.py,43,False,True,False,False,True,2026-07-22 19:16:17 +0200,activo
motor/brain/__init__.py,22,False,False,False,False,True,2026-07-23 18:45:26 +0200,libreria
